"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"10","v2","","3_2x2_2.php","Torpedo0212","134.169.216.86","btn2","2014-10-06 12:57:13",""onload\",\"body\",\"body\",\"14\","-1"
"10","v2","","3_2x2_2.php","Torpedo0212","134.169.216.86","btn2","2014-10-06 12:57:13",""subject\",\"random\",\"1\",\"20\","-1"
"10","v2","","3_2x2_2.php","Torpedo0212","134.169.216.86","btn2","2014-10-06 12:57:13",""order\",\"col\",\"0_1\",\"20\","-1"
"10","v2","","3_2x2_2.php","Torpedo0212","134.169.216.86","btn2","2014-10-06 12:57:13",""order\",\"row\",\"1_0\",\"21\","-1"
"10","v2","","3_2x2_2.php","Torpedo0212","134.169.216.86","btn2","2014-10-06 12:57:13",""events\",\"open_close\",\"1_1\",\"21\","-1"
"10","v2","","3_2x2_2.php","Torpedo0212","134.169.216.86","btn2","2014-10-06 12:57:13",""mousemove\",\"b1\",\"24.43000030517578,35.279998779296875\",\"1607\","-1"
"10","v2","","3_2x2_2.php","Torpedo0212","134.169.216.86","btn2","2014-10-06 12:57:13",""mouseover\",\"a1\",\"89 ; 45\",\"1613\","-1"
"10","v2","","3_2x2_2.php","Torpedo0212","134.169.216.86","btn2","2014-10-06 12:57:13",""mousemove\",\"b1\",\"22.43000030517578,24.279998779296875\",\"1618\","-1"
"10","v2","","3_2x2_2.php","Torpedo0212","134.169.216.86","btn2","2014-10-06 12:57:13",""mousemove\",\"b1\",\"22.43000030517578,22.279998779296875\",\"1627\","-1"
"10","v2","","3_2x2_2.php","Torpedo0212","134.169.216.86","btn2","2014-10-06 12:57:13",""mousemove\",\"b1\",\"22.43000030517578,21.279998779296875\",\"1637\","-1"
"10","v2","","3_2x2_2.php","Torpedo0212","134.169.216.86","btn2","2014-10-06 12:57:13",""mousemove\",\"b1\",\"22.43000030517578,20.279998779296875\",\"1791\","-1"
"10","v2","","3_2x2_2.php","Torpedo0212","134.169.216.86","btn2","2014-10-06 12:57:13",""mousemove\",\"b1\",\"23.43000030517578,20.279998779296875\",\"1934\","-1"
"10","v2","","3_2x2_2.php","Torpedo0212","134.169.216.86","btn2","2014-10-06 12:57:13",""mousemove\",\"b1\",\"23.43000030517578,19.279998779296875\",\"1945\","-1"
"10","v2","","3_2x2_2.php","Torpedo0212","134.169.216.86","btn2","2014-10-06 12:57:13",""mousemove\",\"b1\",\"23.43000030517578,18.279998779296875\",\"1955\","-1"
"10","v2","","3_2x2_2.php","Torpedo0212","134.169.216.86","btn2","2014-10-06 12:57:13",""mousemove\",\"b1\",\"24.43000030517578,17.279998779296875\",\"1968\","-1"
