"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"1435","v3","","3_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:42",""onload\",\"body\",\"body\",\"121\","-1"
"1435","v3","","3_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:42",""subject\",\"random\",\"1\",\"143\","-1"
"1435","v3","","3_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:42",""order\",\"col\",\"0_1_2_3_4\",\"143\","-1"
"1435","v3","","3_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:42",""order\",\"row\",\"1_0_2_3_4\",\"144\","-1"
"1435","v3","","3_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:42",""events\",\"open_close\",\"1_1\",\"144\","-1"
"1435","v3","","3_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:42",""mousemove\",\"a0\",\"0,14.279999732971191\",\"839\","-1"
"1435","v3","","3_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:42",""mouseover\",\"b0\",\"0 ; 69\",\"842\","-1"
"1435","v3","","3_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:42",""mousemove\",\"a0\",\"2,17.279998779296875\",\"852\","-1"
"1435","v3","","3_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:42",""mousemove\",\"a0\",\"3,17.279998779296875\",\"860\","-1"
"1435","v3","","3_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:42",""mousemove\",\"a0\",\"4,18.279998779296875\",\"871\","-1"
"1435","v3","","3_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:42",""mousemove\",\"a0\",\"7,19.279998779296875\",\"883\","-1"
"1435","v3","","3_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:42",""mousemove\",\"a0\",\"9,20.279998779296875\",\"893\","-1"
"1435","v3","","3_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:42",""mousemove\",\"a0\",\"11,20.279998779296875\",\"904\","-1"
"1435","v3","","3_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:42",""mousemove\",\"a0\",\"13,21.279998779296875\",\"915\","-1"
"1435","v3","","3_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:42",""mousemove\",\"a0\",\"16,22.279998779296875\",\"926\","-1"
"1435","v3","","3_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:42",""mousemove\",\"a0\",\"18,22.279998779296875\",\"937\","-1"
"1435","v3","","3_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:42",""mousemove\",\"a0\",\"19,22.279998779296875\",\"959\","-1"
"1435","v3","","3_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:42",""mousemove\",\"a0\",\"21,23.279998779296875\",\"969\","-1"
"1435","v3","","3_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:42",""mousemove\",\"a0\",\"24,24.279998779296875\",\"981\","-1"
"1435","v3","","3_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:42",""mousemove\",\"a0\",\"29,24.279998779296875\",\"992\","-1"
"1435","v3","","3_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:42",""mousemove\",\"a0\",\"35,26.279998779296875\",\"1002\","-1"
"1435","v3","","3_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:42",""mousemove\",\"a0\",\"38,27.279998779296875\",\"1013\","-1"
"1435","v3","","3_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:42",""mousemove\",\"a0\",\"48,27.279998779296875\",\"1222\","-1"
"1435","v3","","3_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:42",""mousemove\",\"a0\",\"58,27.279998779296875\",\"1234\","-1"
"1435","v3","","3_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:42",""mousemove\",\"a0\",\"76,27.279998779296875\",\"1244\","-1"
"1435","v3","","3_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:42",""mousemove\",\"a0\",\"91,29.279998779296875\",\"1255\","-1"
"1435","v3","","3_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:42",""mouseout\",\"a0\",\"out\",\"1269\","-1"
"1435","v3","","3_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:42",""mousemove\",\"a1\",\"3,31.279998779296875\",\"1277\","-1"
"1435","v3","","3_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:42",""mouseover\",\"b0\",\"\",\"1280\","-1"
"1435","v3","","3_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:42",""mouseover\",\"b1\",\"103,5 ; 103,5\",\"1280\","-1"
"1435","v3","","3_5x5_2_T.php","Luke","87.78.213.119","btn3","2014-11-02 15:40:42",""mousemove\",\"a1\",\"8,31.279998779296875\",\"1287\","-1"
