"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""onload\",\"body\",\"body\",\"21\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""subject\",\"random\",\"1\",\"27\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""order\",\"col\",\"0_1\",\"27\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""order\",\"row\",\"1_0\",\"27\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""events\",\"open_close\",\"1_1\",\"27\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mouseover\",\"btn1\",\"Strategie 1\",\"2663\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mouseout\",\"btn1\",\"Strategie 1\",\"2679\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"b1\",\"76.43000030517578,16.279998779296875\",\"2694\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mouseover\",\"a1\",\"36 ; 55\",\"2696\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"b1\",\"49.43000030517578,8.279999732971191\",\"2706\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mouseout\",\"b1\",\"out\",\"2714\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a1\",\"3.429999828338623,20.279998779296875\",\"3392\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mouseover\",\"a1\",\"\",\"3392\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mouseover\",\"b1\",\"12 ; 16\",\"3393\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a1\",\"8.429999351501464,21.279998779296875\",\"3401\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a1\",\"13.429999351501464,22.279998779296875\",\"3412\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a1\",\"17.43000030517578,22.279998779296875\",\"3423\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a1\",\"18.43000030517578,22.279998779296875\",\"3434\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a1\",\"20.43000030517578,22.279998779296875\",\"3445\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a1\",\"22.43000030517578,22.279998779296875\",\"3456\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a1\",\"23.43000030517578,22.279998779296875\",\"3478\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a1\",\"26.43000030517578,22.279998779296875\",\"3489\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a1\",\"27.43000030517578,23.279998779296875\",\"3501\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a1\",\"30.42999839782715,23.279998779296875\",\"3516\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a1\",\"31.42999839782715,23.279998779296875\",\"3523\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a1\",\"33.43000030517578,23.279998779296875\",\"3535\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a1\",\"31.42999839782715,23.279998779296875\",\"3927\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a1\",\"28.43000030517578,23.279998779296875\",\"3938\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a1\",\"25.43000030517578,24.279998779296875\",\"3949\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a1\",\"20.43000030517578,24.279998779296875\",\"3965\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a1\",\"16.43000030517578,24.279998779296875\",\"3971\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a1\",\"7.429999828338623,25.279998779296875\",\"3982\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mousemove\",\"a1\",\"1.4299999475479126,26.279998779296875\",\"3995\","-1"
"11","v2","","4_2x2_2.php","Torpedo0212","134.169.216.86","btn1","2014-10-06 12:57:28",""mouseout\",\"a1\",\"out\",\"4004\","-1"
