"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mouseover\",\"btn1\",\"Strategie 1\",\"352\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mouseout\",\"btn1\",\"Strategie 1\",\"359\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""onload\",\"body\",\"body\",\"598\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""subject\",\"random\",\"1\",\"614\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""order\",\"col\",\"0_1_2_3\",\"614\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""order\",\"row\",\"1_0_2_3\",\"614\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""events\",\"open_close\",\"1_1\",\"614\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mouseover\",\"d3\",\"-364 ; -364\",\"720\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"d3\",\"81,47\",\"722\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"d3\",\"64,42\",\"727\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"d3\",\"47,36\",\"736\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"d3\",\"3,25\",\"756\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mouseout\",\"d3\",\"out\",\"760\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mouseover\",\"d3\",\"\",\"761\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mouseover\",\"d2\",\"-227,5 ; -364\",\"761\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"d2\",\"96,20\",\"764\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"d2\",\"80,15\",\"773\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"d2\",\"43,6\",\"793\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"d2\",\"34,3\",\"799\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"d2\",\"28,2\",\"807\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"d2\",\"25,1\",\"815\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"d2\",\"24,0\",\"823\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"d2\",\"23,0\",\"1034\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"d2\",\"21,0\",\"1054\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mouseout\",\"d2\",\"out\",\"1056\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mouseover\",\"d2\",\"\",\"1124\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mouseover\",\"c1\",\"-136,5 ; -546\",\"1124\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"c1\",\"89,41\",\"1125\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"c1\",\"59,29\",\"1144\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"c1\",\"34,19\",\"1169\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"c1\",\"28,16\",\"1175\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"c1\",\"20,12\",\"1184\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"c1\",\"11,8\",\"1191\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"c1\",\"2,4\",\"1199\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mouseout\",\"c1\",\"out\",\"1208\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mouseover\",\"c1\",\"\",\"1240\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mouseover\",\"a0\",\"-182 ; -182\",\"1240\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"b0\",\"84,42\",\"1241\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"b0\",\"83,38\",\"1251\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"b0\",\"79,26\",\"1268\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"b0\",\"77,18\",\"1271\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"b0\",\"74,9\",\"1279\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"b0\",\"71,0\",\"1287\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mouseout\",\"b0\",\"out\",\"1296\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mouseover\",\"a0\",\"\",\"1296\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mouseover\",\"b0\",\"-546 ; 0\",\"1297\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a0\",\"69,44\",\"1298\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a0\",\"66,32\",\"1307\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a0\",\"59,12\",\"1358\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a0\",\"58,11\",\"1359\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a0\",\"57,10\",\"1367\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a0\",\"57,9\",\"1375\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a0\",\"56,9\",\"1383\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a0\",\"55,9\",\"1391\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a0\",\"54,8\",\"1399\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a0\",\"53,8\",\"1415\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a0\",\"50,8\",\"1423\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a0\",\"49,8\",\"1431\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a0\",\"47,8\",\"1440\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a0\",\"46,8\",\"1447\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a0\",\"44,8\",\"1455\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a0\",\"42,10\",\"1499\","-1"
"29","v2","","4_4x4_2.php","Haribo","84.44.242.245","btn3","2014-10-06 13:43:43",""mousemove\",\"a0\",\"42,11\",\"1511\","-1"
