"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""onload\",\"body\",\"body\",\"264\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""subject\",\"random\",\"0\",\"271\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""order\",\"col\",\"0_1_2\",\"272\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""order\",\"row\",\"0_1_2\",\"272\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""events\",\"open_close\",\"1_1\",\"272\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mouseover\",\"c2\",\"in\",\"3132\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"81,49\",\"3132\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"81,48\",\"3134\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"81,47\",\"3136\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"82,47\",\"3138\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"83,47\",\"3236\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"84,47\",\"3237\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"85,47\",\"3239\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"86,47\",\"3240\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"87,47\",\"3241\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"88,47\",\"3243\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"91,47\",\"3249\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"93,48\",\"3250\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"94,48\",\"3253\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"96,48\",\"3254\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"98,48\",\"3258\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"99,48\",\"3260\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mouseout\",\"c2\",\"out\",\"3264\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mouseover\",\"btn3\",\"Strategie 3\",\"3510\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mouseout\",\"btn3\",\"Strategie 3\",\"3517\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mouseover\",\"c2\",\"in\",\"3552\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"99,24\",\"3552\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"98,23\",\"3553\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"97,23\",\"3554\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"97,22\",\"3556\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"96,21\",\"3557\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"94,21\",\"3559\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"94,20\",\"3560\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"93,20\",\"3562\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"93,19\",\"3563\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"92,19\",\"3564\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"91,18\",\"3564\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"90,18\",\"3565\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"89,17\",\"3566\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"88,17\",\"3567\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"86,16\",\"3568\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"85,15\",\"3569\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"84,15\",\"3570\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"83,14\",\"3571\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"82,13\",\"3572\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"80,13\",\"3573\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"78,12\",\"3575\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"77,11\",\"3575\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"75,10\",\"3576\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"74,10\",\"3578\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"72,9\",\"3579\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"70,8\",\"3580\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"67,7\",\"3582\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"65,6\",\"3582\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"63,5\",\"3583\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"61,5\",\"3584\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"59,4\",\"3585\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"57,3\",\"3586\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"56,3\",\"3587\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"53,2\",\"3588\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"52,1\",\"3589\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"c2\",\"50,0\",\"3590\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mouseout\",\"c2\",\"out\",\"3592\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mouseover\",\"b2\",\"in\",\"3601\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b2\",\"31,49\",\"3601\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b2\",\"29,49\",\"3601\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b2\",\"28,48\",\"3602\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b2\",\"26,48\",\"3603\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b2\",\"24,47\",\"3604\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b2\",\"22,46\",\"3605\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b2\",\"20,45\",\"3606\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b2\",\"19,45\",\"3607\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b2\",\"18,45\",\"3608\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b2\",\"16,44\",\"3609\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b2\",\"14,43\",\"3610\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b2\",\"8,41\",\"3615\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b2\",\"6,40\",\"3616\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b2\",\"5,40\",\"3617\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b2\",\"2,39\",\"3619\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b2\",\"0,38\",\"3620\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mouseout\",\"b2\",\"out\",\"3621\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mouseover\",\"b1\",\"in\",\"3625\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"99,35\",\"3625\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"98,35\",\"3625\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"96,35\",\"3626\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"91,33\",\"3631\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"90,32\",\"3632\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"89,31\",\"3632\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"88,31\",\"3633\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"86,31\",\"3634\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"86,30\",\"3635\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"84,30\",\"3636\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"84,29\",\"3637\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"83,28\",\"3638\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"82,28\",\"3639\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"81,28\",\"3640\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"80,27\",\"3641\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"80,26\",\"3643\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"80,25\",\"3645\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"79,25\",\"3646\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"78,25\",\"3647\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"78,24\",\"3648\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"77,23\",\"3649\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"77,22\",\"3650\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"77,21\",\"3652\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"77,20\",\"3654\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"77,19\",\"3655\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"77,18\",\"3658\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"77,17\",\"3659\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"77,16\",\"3661\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"78,16\",\"3662\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"78,15\",\"3663\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"79,15\",\"3664\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"79,14\",\"3666\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"80,13\",\"3668\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"81,12\",\"3669\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"82,11\",\"3671\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"83,10\",\"3672\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"84,9\",\"3675\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"85,9\",\"3676\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"86,8\",\"3679\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"88,6\",\"3680\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"89,6\",\"3681\","-1"
"4","","","1_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:18",""mousemove\",\"b1\",\"90,6\",\"3682\","-1"
