"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""onload\",\"body\",\"body\",\"44\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""subject\",\"random\",\"0\",\"50\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""order\",\"col\",\"0_1_2_3\",\"50\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""order\",\"row\",\"0_1_2_3\",\"50\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""events\",\"open_close\",\"1_1\",\"50\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mouseover\",\"btn3\",\"Strategie 3\",\"504\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mouseout\",\"btn3\",\"Strategie 3\",\"541\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mouseover\",\"c3\",\"in\",\"544\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c3\",\"98,27\",\"544\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c3\",\"86,26\",\"549\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c3\",\"82,26\",\"550\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c3\",\"81,26\",\"550\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c3\",\"78,26\",\"551\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c3\",\"76,26\",\"552\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c3\",\"74,26\",\"553\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c3\",\"71,26\",\"554\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c3\",\"69,26\",\"555\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c3\",\"67,26\",\"556\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c3\",\"64,26\",\"558\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c3\",\"61,26\",\"558\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c3\",\"59,26\",\"559\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c3\",\"57,26\",\"560\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c3\",\"53,26\",\"562\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c3\",\"49,26\",\"563\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c3\",\"47,25\",\"564\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c3\",\"45,25\",\"565\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c3\",\"43,25\",\"566\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c3\",\"40,25\",\"567\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c3\",\"38,24\",\"568\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c3\",\"35,24\",\"569\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c3\",\"33,24\",\"570\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c3\",\"31,23\",\"571\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c3\",\"28,23\",\"572\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c3\",\"27,23\",\"573\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c3\",\"24,23\",\"574\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c3\",\"22,23\",\"575\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c3\",\"19,22\",\"576\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c3\",\"18,22\",\"577\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c3\",\"15,22\",\"578\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c3\",\"13,22\",\"579\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c3\",\"11,22\",\"580\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c3\",\"8,22\",\"581\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c3\",\"7,22\",\"582\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c3\",\"5,22\",\"583\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c3\",\"2,21\",\"584\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c3\",\"0,21\",\"585\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mouseout\",\"c3\",\"out\",\"586\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mouseover\",\"c2\",\"in\",\"589\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c2\",\"99,20\",\"589\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c2\",\"98,20\",\"590\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c2\",\"95,20\",\"590\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c2\",\"94,20\",\"591\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c2\",\"92,20\",\"592\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c2\",\"90,20\",\"593\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c2\",\"82,19\",\"598\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c2\",\"80,18\",\"599\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c2\",\"78,18\",\"600\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c2\",\"77,18\",\"601\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c2\",\"73,17\",\"603\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c2\",\"71,16\",\"603\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c2\",\"69,16\",\"604\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c2\",\"67,16\",\"605\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c2\",\"66,16\",\"606\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c2\",\"64,15\",\"607\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c2\",\"61,15\",\"608\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c2\",\"59,15\",\"609\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c2\",\"58,14\",\"610\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c2\",\"56,14\",\"611\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c2\",\"54,14\",\"612\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c2\",\"51,14\",\"613\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c2\",\"50,13\",\"614\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c2\",\"48,13\",\"615\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c2\",\"47,12\",\"616\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c2\",\"45,12\",\"617\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c2\",\"43,12\",\"618\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c2\",\"40,12\",\"619\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c2\",\"38,11\",\"620\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c2\",\"37,10\",\"621\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c2\",\"34,10\",\"622\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c2\",\"32,9\",\"623\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c2\",\"30,9\",\"624\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c2\",\"29,9\",\"625\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c2\",\"27,9\",\"626\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c2\",\"24,8\",\"628\","-1"
"8","v2","","1_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:16:55",""mousemove\",\"c2\",\"23,7\",\"628\","-1"
