"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""onload\",\"body\",\"body\",\"58\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""subject\",\"random\",\"1\",\"66\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""order\",\"col\",\"0_1_2_3_4\",\"66\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""order\",\"row\",\"1_0_2_3_4\",\"66\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""events\",\"open_close\",\"1_1\",\"66\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mouseover\",\"e4\",\"in\",\"795\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"e4\",\"99,2\",\"795\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"e4\",\"98,2\",\"796\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"e4\",\"97,2\",\"797\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"e4\",\"97,1\",\"798\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"e4\",\"96,1\",\"799\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"e4\",\"95,1\",\"800\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"e4\",\"94,1\",\"801\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"e4\",\"93,1\",\"803\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"e4\",\"92,1\",\"804\","-1"
"12","v2","","1_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:50",""mousemove\",\"e4\",\"91,1\",\"805\","-1"
