"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""onload\",\"body\",\"body\",\"98\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""subject\",\"random\",\"0\",\"104\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""order\",\"col\",\"0_1_2_3\",\"104\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""order\",\"row\",\"0_1_2_3\",\"104\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""events\",\"open_close\",\"1_1\",\"104\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mouseover\",\"btn4\",\"Strategie 4\",\"543\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mouseout\",\"btn4\",\"Strategie 4\",\"598\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mouseover\",\"d3\",\"in\",\"600\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"d3\",\"98,21\",\"600\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"d3\",\"94,21\",\"601\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"d3\",\"91,20\",\"601\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"d3\",\"87,19\",\"602\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"d3\",\"83,19\",\"603\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"d3\",\"79,18\",\"604\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"d3\",\"65,16\",\"609\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"d3\",\"62,15\",\"609\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"d3\",\"57,15\",\"610\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"d3\",\"52,14\",\"611\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"d3\",\"47,13\",\"612\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"d3\",\"44,12\",\"613\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"d3\",\"41,11\",\"614\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"d3\",\"36,10\",\"615\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"d3\",\"31,10\",\"616\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"d3\",\"26,9\",\"617\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"d3\",\"23,9\",\"618\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"d3\",\"20,8\",\"619\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"d3\",\"13,6\",\"620\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"d3\",\"10,5\",\"621\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"d3\",\"2,3\",\"623\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mouseout\",\"d3\",\"out\",\"624\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mouseover\",\"d2\",\"in\",\"625\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"d2\",\"98,1\",\"626\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"d2\",\"95,1\",\"627\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"d2\",\"90,0\",\"627\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mouseout\",\"d2\",\"out\",\"628\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mouseover\",\"c2\",\"in\",\"634\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c2\",\"62,49\",\"634\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c2\",\"58,48\",\"635\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c2\",\"55,46\",\"636\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c2\",\"52,46\",\"637\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c2\",\"38,42\",\"641\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c2\",\"35,41\",\"643\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c2\",\"30,41\",\"643\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c2\",\"28,39\",\"644\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c2\",\"25,38\",\"645\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c2\",\"22,38\",\"646\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c2\",\"20,38\",\"647\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c2\",\"15,36\",\"650\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c2\",\"11,35\",\"651\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c2\",\"9,34\",\"651\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c2\",\"5,34\",\"652\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c2\",\"3,33\",\"653\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c2\",\"1,32\",\"654\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mouseout\",\"c2\",\"out\",\"655\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mouseover\",\"c1\",\"in\",\"658\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"98,29\",\"658\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"96,28\",\"659\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"93,28\",\"660\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"92,28\",\"661\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"89,27\",\"662\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"87,26\",\"663\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"85,25\",\"664\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"84,25\",\"665\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"81,24\",\"666\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"79,23\",\"667\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"78,23\",\"668\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"77,22\",\"669\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"74,22\",\"670\","-1"
"9","v2","","2_4x4_2.php","Airvernel","91.65.180.138","","2014-10-06 13:17:06",""mousemove\",\"c1\",\"72,21\",\"671\","-1"
