"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""onload\",\"body\",\"body\",\"102\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""subject\",\"random\",\"0\",\"110\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""order\",\"col\",\"0_1_2_3_4\",\"110\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""order\",\"row\",\"0_1_2_3_4\",\"110\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""events\",\"open_close\",\"1_1\",\"110\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mouseover\",\"btn4\",\"Strategie 4\",\"532\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mouseout\",\"btn4\",\"Strategie 4\",\"542\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mouseover\",\"d4\",\"in\",\"543\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"d4\",\"97,22\",\"544\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"d4\",\"55,11\",\"551\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"d4\",\"46,9\",\"553\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"d4\",\"40,7\",\"553\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"d4\",\"28,4\",\"555\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"d4\",\"23,3\",\"556\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"d4\",\"14,1\",\"557\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mouseout\",\"d4\",\"out\",\"558\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mouseover\",\"c3\",\"in\",\"562\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"c3\",\"87,49\",\"563\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"c3\",\"80,47\",\"563\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"c3\",\"74,46\",\"564\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"c3\",\"70,44\",\"565\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"c3\",\"60,42\",\"566\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"c3\",\"54,41\",\"567\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"c3\",\"48,39\",\"568\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"c3\",\"42,38\",\"569\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"c3\",\"33,36\",\"570\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"c3\",\"27,35\",\"571\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"c3\",\"21,33\",\"572\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"c3\",\"15,32\",\"573\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"c3\",\"11,30\",\"574\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mousemove\",\"c3\",\"2,29\",\"575\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mouseout\",\"c3\",\"out\",\"576\","-1"
"13","v2","","2_5x5_2.php","Airvernel","91.65.180.138","","2014-10-06 13:18:08",""mouseover\",\"c2\",\"in\",\"583\","-1"
