"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"6","","","3_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:34",""onload\",\"body\",\"body\",\"38\","-1"
"6","","","3_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:34",""subject\",\"random\",\"1\",\"43\","-1"
"6","","","3_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:34",""order\",\"col\",\"0_1_2\",\"43\","-1"
"6","","","3_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:34",""order\",\"row\",\"1_0_2\",\"43\","-1"
"6","","","3_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:34",""events\",\"open_close\",\"1_1\",\"43\","-1"
"6","","","3_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:34",""mouseover\",\"btn3\",\"Strategie 3\",\"385\","-1"
"6","","","3_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:34",""mouseout\",\"btn3\",\"Strategie 3\",\"410\","-1"
"6","","","3_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:34",""mouseover\",\"c2\",\"in\",\"419\","-1"
"6","","","3_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:34",""mousemove\",\"c2\",\"99,26\",\"420\","-1"
"6","","","3_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:34",""mousemove\",\"c2\",\"98,25\",\"420\","-1"
"6","","","3_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:34",""mousemove\",\"c2\",\"96,24\",\"426\","-1"
"6","","","3_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:34",""mousemove\",\"c2\",\"95,24\",\"426\","-1"
"6","","","3_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:34",""mousemove\",\"c2\",\"93,23\",\"432\","-1"
"6","","","3_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:34",""mousemove\",\"c2\",\"92,23\",\"433\","-1"
"6","","","3_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:34",""mousemove\",\"c2\",\"91,23\",\"434\","-1"
"6","","","3_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:34",""mousemove\",\"c2\",\"91,22\",\"435\","-1"
"6","","","3_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:34",""mousemove\",\"c2\",\"90,22\",\"436\","-1"
"6","","","3_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:34",""mousemove\",\"c2\",\"89,22\",\"437\","-1"
"6","","","3_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:34",""mousemove\",\"c2\",\"89,21\",\"438\","-1"
"6","","","3_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:34",""mousemove\",\"c2\",\"88,21\",\"440\","-1"
"6","","","3_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:34",""mousemove\",\"c2\",\"87,21\",\"442\","-1"
"6","","","3_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:34",""mousemove\",\"c2\",\"86,21\",\"444\","-1"
"6","","","3_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:34",""mousemove\",\"c2\",\"86,20\",\"445\","-1"
"6","","","3_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:34",""mousemove\",\"c2\",\"85,20\",\"447\","-1"
"6","","","3_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:34",""mousemove\",\"c2\",\"84,20\",\"450\","-1"
"6","","","3_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:34",""mousemove\",\"c2\",\"83,20\",\"453\","-1"
"6","","","3_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:34",""mousemove\",\"c2\",\"82,19\",\"454\","-1"
"6","","","3_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:34",""mousemove\",\"c2\",\"81,19\",\"456\","-1"
"6","","","3_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:34",""mousemove\",\"c2\",\"80,18\",\"460\","-1"
"6","","","3_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:34",""mousemove\",\"c2\",\"79,18\",\"461\","-1"
"6","","","3_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:34",""mousemove\",\"c2\",\"78,18\",\"463\","-1"
"6","","","3_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:34",""mousemove\",\"c2\",\"77,18\",\"466\","-1"
"6","","","3_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:34",""mousemove\",\"c2\",\"76,18\",\"468\","-1"
"6","","","3_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:34",""mousemove\",\"c2\",\"75,18\",\"469\","-1"
"6","","","3_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:34",""mousemove\",\"c2\",\"74,18\",\"471\","-1"
"6","","","3_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:34",""mousemove\",\"c2\",\"72,18\",\"474\","-1"
"6","","","3_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:34",""mousemove\",\"c2\",\"71,18\",\"476\","-1"
