"id","expversion","transform","expname","subject","ip","choice","submitted","event","name","value","time","condnum"
"7","","","4_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:37",""onload\",\"body\",\"body\",\"36\","-1"
"7","","","4_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:37",""subject\",\"random\",\"1\",\"41\","-1"
"7","","","4_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:37",""order\",\"col\",\"0_1_2\",\"41\","-1"
"7","","","4_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:37",""order\",\"row\",\"1_0_2\",\"41\","-1"
"7","","","4_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:37",""events\",\"open_close\",\"1_1\",\"41\","-1"
"7","","","4_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:37",""fertig\",\"fertig\",\"fertig\",\"457\","-1"
"7","","","4_3x3_2.php","","91.65.180.138","","2014-10-06 13:16:37",""submit\",\"erwartung\",\"28\",\"2384\","-1"
"28","","","4_3x3_2.php","","87.161.19.60","","2014-10-06 15:29:07",""onload\",\"body\",\"body\",\"251\","-1"
"28","","","4_3x3_2.php","","87.161.19.60","","2014-10-06 15:29:07",""subject\",\"random\",\"1\",\"253\","-1"
"28","","","4_3x3_2.php","","87.161.19.60","","2014-10-06 15:29:07",""order\",\"col\",\"0_1_2\",\"253\","-1"
"28","","","4_3x3_2.php","","87.161.19.60","","2014-10-06 15:29:07",""order\",\"row\",\"1_0_2\",\"253\","-1"
"28","","","4_3x3_2.php","","87.161.19.60","","2014-10-06 15:29:07",""events\",\"open_close\",\"1_1\",\"253\","-1"
"28","","","4_3x3_2.php","","87.161.19.60","","2014-10-06 15:29:07",""mouseover\",\"btn3\",\"Strategie 3\",\"1654\","-1"
"28","","","4_3x3_2.php","","87.161.19.60","","2014-10-06 15:29:07",""mouseout\",\"btn3\",\"Strategie 3\",\"1664\","-1"
"28","","","4_3x3_2.php","","87.161.19.60","","2014-10-06 15:29:07",""mouseover\",\"btn1\",\"Strategie 1\",\"1684\","-1"
"28","","","4_3x3_2.php","","87.161.19.60","","2014-10-06 15:29:07",""mouseout\",\"btn1\",\"Strategie 1\",\"1694\","-1"
"28","","","4_3x3_2.php","","87.161.19.60","","2014-10-06 15:29:07",""mouseover\",\"btn1\",\"Strategie 1\",\"2020\","-1"
"28","","","4_3x3_2.php","","87.161.19.60","","2014-10-06 15:29:07",""onclick\",\"btn1\",\"Strategie 2\",\"2518\","-1"
"28","","","4_3x3_2.php","","87.161.19.60","","2014-10-06 15:29:07",""mouseout\",\"btn1\",\"Strategie 1\",\"2602\","-1"
"28","","","4_3x3_2.php","","87.161.19.60","","2014-10-06 15:29:07",""fertig\",\"fertig\",\"fertig\",\"3030\","-1"
"28","","","4_3x3_2.php","","87.161.19.60","","2014-10-06 15:29:07",""submit\",\"erwartung\",\"\",\"4206\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""onload\",\"body\",\"body\",\"422\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""subject\",\"random\",\"0\",\"425\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""order\",\"col\",\"0_1_2\",\"425\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""order\",\"row\",\"0_1_2\",\"425\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""events\",\"open_close\",\"1_1\",\"425\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mouseover\",\"btn3\",\"Strategie 3\",\"532\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mouseout\",\"btn3\",\"Strategie 3\",\"535\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mouseover\",\"btn3\",\"Strategie 3\",\"1097\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mouseout\",\"btn3\",\"Strategie 3\",\"1135\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mouseover\",\"c2\",\"in\",\"1153\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"c2\",\"99,8\",\"1153\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"c2\",\"97,7\",\"1154\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"c2\",\"95,5\",\"1156\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"c2\",\"91,3\",\"1161\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"c2\",\"90,2\",\"1163\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"c2\",\"89,1\",\"1165\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"c2\",\"88,0\",\"1167\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mouseout\",\"c2\",\"out\",\"1169\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mouseover\",\"b2\",\"in\",\"1180\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"b2\",\"84,49\",\"1180\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"b2\",\"83,46\",\"1185\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"b2\",\"82,45\",\"1185\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"b2\",\"82,43\",\"1187\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"b2\",\"82,42\",\"1189\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"b2\",\"82,41\",\"1191\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"b2\",\"82,39\",\"1193\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"b2\",\"82,38\",\"1195\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"b2\",\"82,37\",\"1197\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"b2\",\"82,34\",\"1199\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"b2\",\"82,33\",\"1203\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"b2\",\"82,31\",\"1205\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"b2\",\"82,30\",\"1207\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"b2\",\"82,29\",\"1209\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"b2\",\"82,28\",\"1211\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"b2\",\"82,27\",\"1213\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"b2\",\"83,25\",\"1215\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"b2\",\"83,24\",\"1217\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"b2\",\"83,23\",\"1219\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"b2\",\"84,22\",\"1221\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"b2\",\"85,21\",\"1223\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"b2\",\"85,20\",\"1225\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"b2\",\"86,19\",\"1227\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"b2\",\"87,18\",\"1229\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"b2\",\"87,17\",\"1231\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"b2\",\"89,16\",\"1233\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"b2\",\"89,15\",\"1235\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"b2\",\"90,14\",\"1237\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"b2\",\"91,13\",\"1239\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"b2\",\"91,12\",\"1241\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"b2\",\"92,11\",\"1243\","-1"
"44","","","4_3x3_2.php","","178.8.88.51","","2014-10-06 20:09:14",""mousemove\",\"b2\",\"93,10\",\"1245\","-1"
